url,name
/person/michael-waters/,Michael Waters
/person/andricus-pieter-van-der-westhuizen/,Andricus Pieter Van der Westhuizen
/person/andrew-grant-whitfield/,Andrew Grant Whitfield
/person/adrian-john-williams/,Adrian John Williams
/person/evelyn-rayne-wilson/,Evelyn Rayne Wilson
/person/lindy-wilson/,Lindy Wilson
/person/tokozile-xasa/,Thokozile Xasa
/person/sheilla-tembalam-xego-sovita/,Sheilla Tembalam Xego-Sovita
/person/lumka-elizabeth-yengeni/,Lumka Elizabeth Yengeni
/person/senzeni-zokwana/,Senzeni Zokwana
/person/l-d-zulu/,Lindiwe Zulu
/person/cynthia-nocollege-majeke/,Cynthia Nocollege Majeke
